EVBidWeight_index_1	EVBidWeight_index_2	EVBidWeight_index_3	EVBidWeight
Oahu	35071219	6	0.20500974811120434
Oahu	35071219	7	0.0
Oahu	35071219	8	0.19345196601601783
Oahu	35071219	9	0.0
Oahu	35071219	10	0.0
Oahu	35071219	11	0.0
Oahu	35071219	12	0.035048697090832207
Oahu	35080109	0	0.0
Oahu	35080109	1	0.16226988145823626
Oahu	35080109	2	0.011924376798257974
Oahu	35080109	3	0.0
Oahu	35080109	4	0.0
Oahu	35080109	5	0.07038414704611586
Oahu	35080109	6	0.2790521939973598
Oahu	35080109	7	0.091754016085035
Oahu	35080109	8	0.0
Oahu	35080109	9	0.0
Oahu	35080109	10	0.0
Oahu	35080109	11	0.0
Oahu	35080109	12	0.0
Oahu	35080421	0	0.0
Oahu	35080421	1	0.008216746935332832
Oahu	35080421	2	0.10454012495454727
Oahu	35080421	3	0.0
Oahu	35080421	4	0.0
Oahu	35080421	5	0.0
Oahu	35080421	6	0.11168749571065983
Oahu	35080421	7	0.33142224460874015
Oahu	35080421	8	0.05951800317571994
Oahu	35080421	9	0.0
Oahu	35080421	10	0.0
Oahu	35080421	11	0.0
Oahu	35080421	12	0.0
Oahu	35080501	0	0.0
Oahu	35080501	1	0.08869046351468368
Oahu	35080501	2	0.010814040176209933
Oahu	35080501	3	0.0
Oahu	35080501	4	0.0
Oahu	35080501	5	0.0
Oahu	35080501	6	0.3292661455340051
Oahu	35080501	7	0.1796777983584661
Oahu	35080501	8	0.006936167801635223
Oahu	35080501	9	0.0
Oahu	35080501	10	0.0
Oahu	35080501	11	0.0
Oahu	35080501	12	0.0
Oahu	35080727	0	0.0
Oahu	35080727	1	0.0960802736220076
Oahu	35080727	2	0.0
Oahu	35080727	3	0.0
Oahu	35080727	4	0.0022885991059856704
Oahu	35080727	5	0.0
Oahu	35080727	6	0.3322399490633663
Oahu	35080727	7	0.18477579359364046
Oahu	35080727	8	0.0
Oahu	35080727	9	0.0
Oahu	35080727	10	0.0
Oahu	35080727	11	0.0
Oahu	35080727	12	0.0
Oahu	35080910	0	0.0
Oahu	35080910	1	0.08446972169450531
Oahu	35080910	2	0.10212652398495631
Oahu	35080910	3	0.0
Oahu	35080910	4	0.0
Oahu	35080910	5	0.0
Oahu	35080910	6	0.35414207349772087
Oahu	35080910	7	0.0
Oahu	35080910	8	0.06731074867288105
Oahu	35080910	9	0.0
Oahu	35080910	10	0.0
Oahu	35080910	11	0.0
Oahu	35080910	12	0.007335547534938057
Oahu	35081003	0	0.0
Oahu	35081003	1	0.05067720970886036
Oahu	35081003	2	0.08612769109044431
Oahu	35081003	3	0.0
Oahu	35081003	4	0.0
Oahu	35081003	5	0.0
Oahu	35081003	6	0.3611742798892021
Oahu	35081003	7	0.0
Oahu	35081003	8	0.11740543469649342
Oahu	35081003	9	0.0
Oahu	35081003	10	0.0
Oahu	35081003	11	0.0
Oahu	35081003	12	0.0
Oahu	35081108	0	0.0
Oahu	35081108	1	0.016207776501048984
Oahu	35081108	2	0.0
Oahu	35081108	3	0.0
Oahu	35081108	4	0.0
Oahu	35081108	5	0.0
Oahu	35081108	6	0.39299574047064634
Oahu	35081108	7	0.019241441033965134
Oahu	35081108	8	0.18693965737933949
Oahu	35081108	9	0.0
Oahu	35081108	10	0.0
Oahu	35081108	11	0.0
Oahu	35081108	12	0.0
Oahu	35081205	0	0.0
Oahu	35081205	1	0.03444688230002757
Oahu	35081205	2	0.05149117388145756
Oahu	35081205	3	0.0
Oahu	35081205	4	0.0
Oahu	35081205	5	0.0
Oahu	35081205	6	0.34535394195101554
Oahu	35081205	7	0.0
Oahu	35081205	8	0.18409261725249934
Oahu	35081205	9	0.0
Oahu	35081205	10	0.0
Oahu	35081205	11	0.0
Oahu	35081205	12	0.0
Oahu	35081208	0	0.0
Oahu	35081208	1	0.00974224555051019
Oahu	35081208	2	0.07125362476703881
Oahu	35081208	3	0.0
Oahu	35081208	4	0.0
Oahu	35081208	5	0.0
Oahu	35081208	6	0.28872737391894965
Oahu	35081208	7	0.009812851214263766
Oahu	35081208	8	0.23584851993423775
Oahu	35081208	9	0.0
Oahu	35081208	10	0.0
Oahu	35081208	11	0.0
Oahu	35081208	12	0.0
Oahu	40070517	0	0.0
Oahu	40070517	1	0.0
