GENERATION_PROJECT	PERIOD	gen_tech	gen_load_zone	gen_energy_source	GenCapacity	GenCapitalCosts	GenFixedOMCosts
Oahu_CentralTrackingPV_PV_05	2020	CentralTrackingPV	Oahu	SUN	34.1891	4.40228e+06	313943
Oahu_CentralTrackingPV_PV_05	2025	CentralTrackingPV	Oahu	SUN	34.1891	4.40228e+06	313943
Oahu_CentralTrackingPV_PV_05	2030	CentralTrackingPV	Oahu	SUN	34.1891	4.40228e+06	313943
Oahu_CentralTrackingPV_PV_05	2035	CentralTrackingPV	Oahu	SUN	34.1891	4.40228e+06	313943
Oahu_CentralTrackingPV_PV_05	2040	CentralTrackingPV	Oahu	SUN	34.1891	4.40228e+06	313943
Oahu_CentralTrackingPV_PV_05	2045	CentralTrackingPV	Oahu	SUN	34.1891	4.40228e+06	313943
Oahu_CentralTrackingPV_PV_06	2020	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_06	2025	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_06	2030	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_06	2035	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_06	2040	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_06	2045	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_07	2020	CentralTrackingPV	Oahu	SUN	60.7	8.13785e+06	586829
Oahu_CentralTrackingPV_PV_07	2025	CentralTrackingPV	Oahu	SUN	60.7	8.13785e+06	586829
Oahu_CentralTrackingPV_PV_07	2030	CentralTrackingPV	Oahu	SUN	60.7	8.13785e+06	586829
Oahu_CentralTrackingPV_PV_07	2035	CentralTrackingPV	Oahu	SUN	60.7	8.13785e+06	586829
Oahu_CentralTrackingPV_PV_07	2040	CentralTrackingPV	Oahu	SUN	60.7	8.13785e+06	586829
Oahu_CentralTrackingPV_PV_07	2045	CentralTrackingPV	Oahu	SUN	60.7	8.13785e+06	586829
Oahu_CentralTrackingPV_PV_08	2020	CentralTrackingPV	Oahu	SUN	0	0	0
