ISV_INDEX_1	IncreaseSmoothedValue
('ChargeEVs', 'Oahu', 2508110816)	6.970789975582635
('ChargeEVs', 'Oahu', 2508110818)	0.0
('ChargeEVs', 'Oahu', 2508110820)	0.0
('ChargeEVs', 'Oahu', 2508110822)	6.840600252580724
('ChargeEVs', 'Oahu', 2508120500)	85.24086748497574
('ChargeEVs', 'Oahu', 2508120502)	54.327722552
('ChargeEVs', 'Oahu', 2508120504)	0.0
('ChargeEVs', 'Oahu', 2508120506)	0.0
('ChargeEVs', 'Oahu', 2508120508)	0.0
('ChargeEVs', 'Oahu', 2508120510)	0.0
('ChargeEVs', 'Oahu', 2508120512)	0.0
('ChargeEVs', 'Oahu', 2508120514)	0.0
('ChargeEVs', 'Oahu', 2508120516)	3.1049845193528807
('ChargeEVs', 'Oahu', 2508120518)	0.4054842691325231
('ChargeEVs', 'Oahu', 2508120520)	2.092925902200439
('ChargeEVs', 'Oahu', 2508120522)	98.51538758499161
('ChargeEVs', 'Oahu', 2508120800)	129.2653654308401
('ChargeEVs', 'Oahu', 2508120802)	77.77074001263942
('ChargeEVs', 'Oahu', 2508120804)	0.0
('ChargeEVs', 'Oahu', 2508120806)	0.0
('ChargeEVs', 'Oahu', 2508120808)	3.928203379304451
('ChargeEVs', 'Oahu', 2508120810)	0.0
('ChargeEVs', 'Oahu', 2508120812)	0.0
('ChargeEVs', 'Oahu', 2508120814)	0.0
('ChargeEVs', 'Oahu', 2508120816)	2.3841258606215554
('ChargeEVs', 'Oahu', 2508120818)	2.5025295665365115
('ChargeEVs', 'Oahu', 2508120820)	0.8701082792596169
('ChargeEVs', 'Oahu', 2508120822)	69.7338186482886
('ChargeEVs', 'Oahu', 3007051700)	54.505667532804814
('ChargeEVs', 'Oahu', 3007051702)	57.318159816278204
('ChargeEVs', 'Oahu', 3007051704)	103.29387322129047
('ChargeEVs', 'Oahu', 3007051706)	0.0
('ChargeEVs', 'Oahu', 3007051708)	86.31092687023498
('ChargeEVs', 'Oahu', 3007051710)	0.0
('ChargeEVs', 'Oahu', 3007051712)	0.0
('ChargeEVs', 'Oahu', 3007051714)	0.0
('ChargeEVs', 'Oahu', 3007051716)	39.80400566991491
('ChargeEVs', 'Oahu', 3007051718)	5.1910050098995555
('ChargeEVs', 'Oahu', 3007051720)	0.0
('ChargeEVs', 'Oahu', 3007051722)	15.864095377800027
('ChargeEVs', 'Oahu', 3007070900)	36.29819601548789
('ChargeEVs', 'Oahu', 3007070902)	25.037514153771028
('ChargeEVs', 'Oahu', 3007070904)	82.08646096593081
