generation_project	timepoint	load_zone	ChargeMW	DischargeMW	StateOfCharge
Oahu_Battery_Bulk	2035-11-08-04:00	Oahu	0	76.4372	96.1576
Oahu_Battery_Conting	2025-10-03-14:00	Oahu	0	0	0
Oahu_Battery_Reg	2020-07-27-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-12-18-20:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-05-17-18:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-12-05-20:00	Oahu	0	0	0
Oahu_Battery_Conting	2035-01-09-02:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-01-09-10:00	Oahu	82.5845	0	148.652
Oahu_Battery_Conting	2025-04-21-22:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-07-27-20:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-10-03-12:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-12-15-22:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-07-21-18:00	Oahu	0	0	371.256
Oahu_Battery_Bulk	2040-07-09-00:00	Oahu	0	0	246.563
Oahu_Battery_Bulk	2025-12-08-18:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-12-05-14:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-12-05-14:00	Oahu	0	0	0
Oahu_Battery_Reg	2020-05-01-12:00	Oahu	0	0	0
Oahu_Battery_Reg	2020-04-21-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-04-21-10:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-04-21-20:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-12-18-06:00	Oahu	0	0	0
Oahu_Battery_Conting	2035-12-19-00:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-11-08-06:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-10-03-12:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-09-10-22:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-12-05-20:00	Oahu	0	0	0
Oahu_Battery_Reg	2035-05-01-06:00	Oahu	0	0	0
Oahu_Battery_Reg	2035-05-17-20:00	Oahu	0	0	0
Oahu_Battery_Reg	2035-07-21-16:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-01-09-04:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-12-05-02:00	Oahu	22.3652	0	268.838
Oahu_Battery_Conting	2025-12-18-10:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-05-17-12:00	Oahu	157.35	0	283.23
Oahu_Battery_Conting	2020-09-10-00:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-10-03-02:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-08-25-02:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-12-18-16:00	Oahu	183.697	0	500.192
Oahu_Battery_Reg	2020-05-17-10:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-11-08-18:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-08-25-18:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-12-18-02:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-07-21-20:00	Oahu	0	0	0
