STORAGE_GEN_TPS_1	STORAGE_GEN_TPS_2	StateOfCharge
Oahu_Battery_Bulk	3007121918	0.0
Oahu_Battery_Bulk	3007121920	0.0
Oahu_Battery_Bulk	3007121922	0.0
Oahu_Battery_Bulk	3008010900	0.0
Oahu_Battery_Bulk	3008010902	0.0
Oahu_Battery_Bulk	3008010904	0.0
Oahu_Battery_Bulk	3008010906	0.0
Oahu_Battery_Bulk	3008010908	0.0
Oahu_Battery_Bulk	3008010910	0.0
Oahu_Battery_Bulk	3008010912	0.0
Oahu_Battery_Bulk	3008010914	0.0
Oahu_Battery_Bulk	3008010916	0.0
Oahu_Battery_Bulk	3008010918	0.0
Oahu_Battery_Bulk	3008010920	0.0
Oahu_Battery_Bulk	3008010922	0.0
Oahu_Battery_Bulk	3008042100	0.0
Oahu_Battery_Bulk	3008042102	0.0
Oahu_Battery_Bulk	3008042104	0.0
Oahu_Battery_Bulk	3008042106	0.0
Oahu_Battery_Bulk	3008042108	0.0
Oahu_Battery_Bulk	3008042110	0.0
Oahu_Battery_Bulk	3008042112	0.0
Oahu_Battery_Bulk	3008042114	0.0
Oahu_Battery_Bulk	3008042116	0.0
Oahu_Battery_Bulk	3008042118	0.0
Oahu_Battery_Bulk	3008042120	0.0
Oahu_Battery_Bulk	3008042122	0.0
Oahu_Battery_Bulk	3008050100	0.0
Oahu_Battery_Bulk	3008050102	0.0
Oahu_Battery_Bulk	3008050104	0.0
Oahu_Battery_Bulk	3008050106	0.0
Oahu_Battery_Bulk	3008050108	0.0
Oahu_Battery_Bulk	3008050110	0.0
Oahu_Battery_Bulk	3008050112	0.0
Oahu_Battery_Bulk	3008050114	0.0
Oahu_Battery_Bulk	3008050116	0.0
Oahu_Battery_Bulk	3008050118	0.0
Oahu_Battery_Bulk	3008050120	0.0
Oahu_Battery_Bulk	3008050122	0.0
Oahu_Battery_Bulk	3008072700	0.0
Oahu_Battery_Bulk	3008072702	0.0
Oahu_Battery_Bulk	3008072704	0.0
Oahu_Battery_Bulk	3008072706	0.0
Oahu_Battery_Bulk	3008072708	0.0
Oahu_Battery_Bulk	3008072710	0.0
Oahu_Battery_Bulk	3008072712	0.0
Oahu_Battery_Bulk	3008072714	0.0
Oahu_Battery_Bulk	3008072716	0.0
Oahu_Battery_Bulk	3008072718	0.0
Oahu_Battery_Bulk	3008072720	0.0
Oahu_Battery_Bulk	3008072722	0.0
Oahu_Battery_Bulk	3008091000	0.0
Oahu_Battery_Bulk	3008091002	0.0
Oahu_Battery_Bulk	3008091004	0.0
Oahu_Battery_Bulk	3008091006	0.0
Oahu_Battery_Bulk	3008091008	0.0
Oahu_Battery_Bulk	3008091010	0.0
Oahu_Battery_Bulk	3008091012	0.0
Oahu_Battery_Bulk	3008091014	0.0
Oahu_Battery_Bulk	3008091016	0.0
Oahu_Battery_Bulk	3008091018	0.0
Oahu_Battery_Bulk	3008091020	0.0
Oahu_Battery_Bulk	3008091022	0.0
Oahu_Battery_Bulk	3008100300	0.0
Oahu_Battery_Bulk	3008100302	0.0
Oahu_Battery_Bulk	3008100304	0.0
Oahu_Battery_Bulk	3008100306	0.0
Oahu_Battery_Bulk	3008100308	0.0
Oahu_Battery_Bulk	3008100310	0.0
Oahu_Battery_Bulk	3008100312	0.0
Oahu_Battery_Bulk	3008100314	0.0
Oahu_Battery_Bulk	3008100316	0.0
Oahu_Battery_Bulk	3008100318	0.0
Oahu_Battery_Bulk	3008100320	0.0
Oahu_Battery_Bulk	3008100322	0.0
Oahu_Battery_Bulk	3008110800	0.0
Oahu_Battery_Bulk	3008110802	0.0
Oahu_Battery_Bulk	3008110804	0.0
Oahu_Battery_Bulk	3008110806	0.0
Oahu_Battery_Bulk	3008110808	0.0
Oahu_Battery_Bulk	3008110810	0.0
Oahu_Battery_Bulk	3008110812	0.0
Oahu_Battery_Bulk	3008110814	0.0
Oahu_Battery_Bulk	3008110816	0.0
Oahu_Battery_Bulk	3008110818	0.0
Oahu_Battery_Bulk	3008110820	0.0
Oahu_Battery_Bulk	3008110822	0.0
Oahu_Battery_Bulk	3008120500	0.0
Oahu_Battery_Bulk	3008120502	0.0
Oahu_Battery_Bulk	3008120504	0.0
Oahu_Battery_Bulk	3008120506	0.0
Oahu_Battery_Bulk	3008120508	0.0
Oahu_Battery_Bulk	3008120510	0.0
Oahu_Battery_Bulk	3008120512	0.0
Oahu_Battery_Bulk	3008120514	0.0
