FUEL_BASED_GEN_TPS_1	FUEL_BASED_GEN_TPS_2	StartupGenCapacityRenewable
Oahu_AES	3007070908	0.0
Oahu_AES	3007070910	0.0
Oahu_AES	3007070912	0.0
Oahu_AES	3007070914	0.0
Oahu_AES	3007070916	0.0
Oahu_AES	3007070918	0.0
Oahu_AES	3007070920	0.0
Oahu_AES	3007070922	0.0
Oahu_AES	3007072100	0.0
Oahu_AES	3007072102	0.0
Oahu_AES	3007072104	0.0
Oahu_AES	3007072106	0.0
Oahu_AES	3007072108	0.0
Oahu_AES	3007072110	0.0
Oahu_AES	3007072112	0.0
Oahu_AES	3007072114	0.0
Oahu_AES	3007072116	0.0
Oahu_AES	3007072118	0.0
Oahu_AES	3007072120	0.0
Oahu_AES	3007072122	0.0
Oahu_AES	3007082500	0.0
Oahu_AES	3007082502	0.0
Oahu_AES	3007082504	0.0
Oahu_AES	3007082506	0.0
Oahu_AES	3007082508	0.0
Oahu_AES	3007082510	0.0
Oahu_AES	3007082512	0.0
Oahu_AES	3007082514	0.0
Oahu_AES	3007082516	0.0
Oahu_AES	3007082518	0.0
Oahu_AES	3007082520	0.0
Oahu_AES	3007082522	0.0
Oahu_AES	3007121500	0.0
Oahu_AES	3007121502	0.0
Oahu_AES	3007121504	0.0
Oahu_AES	3007121506	0.0
Oahu_AES	3007121508	0.0
Oahu_AES	3007121510	0.0
Oahu_AES	3007121512	0.0
Oahu_AES	3007121514	0.0
Oahu_AES	3007121516	0.0
Oahu_AES	3007121518	0.0
Oahu_AES	3007121520	0.0
Oahu_AES	3007121522	0.0
Oahu_AES	3007121800	0.0
Oahu_AES	3007121802	0.0
Oahu_AES	3007121804	0.0
Oahu_AES	3007121806	0.0
Oahu_AES	3007121808	0.0
Oahu_AES	3007121810	0.0
Oahu_AES	3007121812	0.0
Oahu_AES	3007121814	0.0
Oahu_AES	3007121816	0.0
Oahu_AES	3007121818	0.0
Oahu_AES	3007121820	0.0
Oahu_AES	3007121822	0.0
Oahu_AES	3007121900	0.0
Oahu_AES	3007121902	0.0
Oahu_AES	3007121904	0.0
Oahu_AES	3007121906	0.0
Oahu_AES	3007121908	0.0
Oahu_AES	3007121910	0.0
Oahu_AES	3007121912	0.0
Oahu_AES	3007121914	0.0
Oahu_AES	3007121916	0.0
Oahu_AES	3007121918	0.0
Oahu_AES	3007121920	0.0
Oahu_AES	3007121922	0.0
Oahu_AES	3008010900	0.0
Oahu_AES	3008010902	0.0
Oahu_AES	3008010904	0.0
Oahu_AES	3008010906	0.0
Oahu_AES	3008010908	0.0
Oahu_AES	3008010910	0.0
Oahu_AES	3008010912	0.0
Oahu_AES	3008010914	0.0
Oahu_AES	3008010916	0.0
Oahu_AES	3008010918	0.0
Oahu_AES	3008010920	0.0
Oahu_AES	3008010922	0.0
Oahu_AES	3008042100	0.0
Oahu_AES	3008042102	0.0
